Rainfall - (MM), Year, Statistics, Country, ISO3
6.67225, 1999, Aug Average, Oman, OMN
0.39875, 1999, Sep Average, Oman, OMN
2.25026, 1999, Oct Average, Oman, OMN
0.30995, 1999, Nov Average, Oman, OMN
0.00064, 1999, Dec Average, Oman, OMN
1.37425, 2000, Jan Average, Oman, OMN
0.00589, 2000, Feb Average, Oman, OMN
0.02643, 2000, Mar Average, Oman, OMN
0.00508, 2000, Apr Average, Oman, OMN
0.0029, 2000, May Average, Oman, OMN
4.77333, 2000, Jun Average, Oman, OMN
2.40849, 2000, Jul Average, Oman, OMN
4.89971, 2000, Aug Average, Oman, OMN
5.82809, 2000, Sep Average, Oman, OMN
0.78354, 2000, Oct Average, Oman, OMN
6.80352, 2000, Nov Average, Oman, OMN
2.02732, 2000, Dec Average, Oman, OMN
4.24021, 2001, Jan Average, Oman, OMN
4.40366, 2001, Feb Average, Oman, OMN
0.02101, 2001, Mar Average, Oman, OMN
0.01084, 2001, Apr Average, Oman, OMN
0.02687, 2001, May Average, Oman, OMN
4.11377, 2001, Jun Average, Oman, OMN
8.49279, 2001, Jul Average, Oman, OMN
7.85143, 2001, Aug Average, Oman, OMN
2.89503, 2001, Sep Average, Oman, OMN
0.01363, 2001, Oct Average, Oman, OMN
0.01172, 2001, Nov Average, Oman, OMN
1.39034, 2001, Dec Average, Oman, OMN
2.14056, 2002, Jan Average, Oman, OMN
5.24282, 2002, Feb Average, Oman, OMN
1.36726, 2002, Mar Average, Oman, OMN
23.4491, 2002, Apr Average, Oman, OMN
7.27311, 2002, May Average, Oman, OMN
6.60651, 2002, Jun Average, Oman, OMN
5.99654, 2002, Jul Average, Oman, OMN
8.1086, 2002, Aug Average, Oman, OMN
0.57024, 2002, Sep Average, Oman, OMN
0.77464, 2002, Oct Average, Oman, OMN
9.74376, 2002, Nov Average, Oman, OMN
3.17437, 2002, Dec Average, Oman, OMN
0.66188, 2003, Jan Average, Oman, OMN
4.95137, 2003, Feb Average, Oman, OMN
3.88828, 2003, Mar Average, Oman, OMN
12.5107, 2003, Apr Average, Oman, OMN
0.003, 2003, May Average, Oman, OMN
9.16566, 2003, Jun Average, Oman, OMN
13.9653, 2003, Jul Average, Oman, OMN
11.2413, 2003, Aug Average, Oman, OMN
2.89503, 2003, Sep Average, Oman, OMN
3.04376, 2003, Oct Average, Oman, OMN
3.69926, 2003, Nov Average, Oman, OMN
0.18315, 2003, Dec Average, Oman, OMN
16.8961, 2004, Jan Average, Oman, OMN
0.00675, 2004, Feb Average, Oman, OMN
0.45887, 2004, Mar Average, Oman, OMN
0.05019, 2004, Apr Average, Oman, OMN
0.00407, 2004, May Average, Oman, OMN
3.98115, 2004, Jun Average, Oman, OMN
11.7939, 2004, Jul Average, Oman, OMN
19.8408, 2004, Aug Average, Oman, OMN
10.5087, 2004, Sep Average, Oman, OMN
0.32549, 2004, Oct Average, Oman, OMN
0.09714, 2004, Nov Average, Oman, OMN
23.4926, 2004, Dec Average, Oman, OMN
1.84494, 2005, Jan Average, Oman, OMN
7.59321, 2005, Feb Average, Oman, OMN
23.3797, 2005, Mar Average, Oman, OMN
1.74503, 2005, Apr Average, Oman, OMN
0.00461, 2005, May Average, Oman, OMN
6.36764, 2005, Jun Average, Oman, OMN
4.84912, 2005, Jul Average, Oman, OMN
3.14403, 2005, Aug Average, Oman, OMN
0.57024, 2005, Sep Average, Oman, OMN
0.01363, 2005, Oct Average, Oman, OMN
0.42564, 2005, Nov Average, Oman, OMN
0.71316, 2005, Dec Average, Oman, OMN
0.52408, 2006, Jan Average, Oman, OMN
28.2131, 2006, Feb Average, Oman, OMN
1.23941, 2006, Mar Average, Oman, OMN
0.02822, 2006, Apr Average, Oman, OMN
0.00277, 2006, May Average, Oman, OMN
0.79629, 2006, Jun Average, Oman, OMN
9.88053, 2006, Jul Average, Oman, OMN
11.2631, 2006, Aug Average, Oman, OMN
1.12752, 2006, Sep Average, Oman, OMN
0.01363, 2006, Oct Average, Oman, OMN
0.33862, 2006, Nov Average, Oman, OMN
25.6778, 2006, Dec Average, Oman, OMN
0.63268, 2007, Jan Average, Oman, OMN
0.8361, 2007, Feb Average, Oman, OMN
69.518, 2007, Mar Average, Oman, OMN
0.15761, 2007, Apr Average, Oman, OMN
58.7574, 2007, May Average, Oman, OMN
51.9938, 2007, Jun Average, Oman, OMN
8.05544, 2007, Jul Average, Oman, OMN
6.10364, 2007, Aug Average, Oman, OMN
0.57024, 2007, Sep Average, Oman, OMN
0.01423, 2007, Oct Average, Oman, OMN
20.5067, 2007, Nov Average, Oman, OMN
18.0914, 2007, Dec Average, Oman, OMN
5.94324, 2008, Jan Average, Oman, OMN
1.03938, 2008, Feb Average, Oman, OMN
0.00522, 2008, Mar Average, Oman, OMN
0.0057, 2008, Apr Average, Oman, OMN
8.49772, 2008, May Average, Oman, OMN
0.00231, 2008, Jun Average, Oman, OMN
13.0087, 2008, Jul Average, Oman, OMN
4.52025, 2008, Aug Average, Oman, OMN
0.00789, 2008, Sep Average, Oman, OMN
21.7146, 2008, Oct Average, Oman, OMN
0.15907, 2008, Nov Average, Oman, OMN
0.30187, 2008, Dec Average, Oman, OMN
15.0351, 2009, Jan Average, Oman, OMN
0.01673, 2009, Feb Average, Oman, OMN
15.9429, 2009, Mar Average, Oman, OMN
4.31268, 2009, Apr Average, Oman, OMN
0.00277, 2009, May Average, Oman, OMN
2.99551, 2009, Jun Average, Oman, OMN
6.03231, 2009, Jul Average, Oman, OMN
0.98679, 2009, Aug Average, Oman, OMN
0.00789, 2009, Sep Average, Oman, OMN
0.01392, 2009, Oct Average, Oman, OMN
0.03818, 2009, Nov Average, Oman, OMN
13.2756, 2009, Dec Average, Oman, OMN
1.13224, 2010, Jan Average, Oman, OMN
25.4352, 2010, Feb Average, Oman, OMN
0.64269, 2010, Mar Average, Oman, OMN
0.17184, 2010, Apr Average, Oman, OMN
9.13358, 2010, May Average, Oman, OMN
5.28932, 2010, Jun Average, Oman, OMN
5.79139, 2010, Jul Average, Oman, OMN
2.91408, 2010, Aug Average, Oman, OMN
2.24889, 2010, Sep Average, Oman, OMN
0.01367, 2010, Oct Average, Oman, OMN
0.0218, 2010, Nov Average, Oman, OMN
0.68114, 2010, Dec Average, Oman, OMN
1.72444, 2011, Jan Average, Oman, OMN
1.10937, 2011, Feb Average, Oman, OMN
0.01254, 2011, Mar Average, Oman, OMN
19.8643, 2011, Apr Average, Oman, OMN
7.27334, 2011, May Average, Oman, OMN
1.5928, 2011, Jun Average, Oman, OMN
11.4146, 2011, Jul Average, Oman, OMN
2.08897, 2011, Aug Average, Oman, OMN
1.68639, 2011, Sep Average, Oman, OMN
15.2601, 2011, Oct Average, Oman, OMN
5.08506, 2011, Nov Average, Oman, OMN
0.02091, 2011, Dec Average, Oman, OMN
3.38846, 2012, Jan Average, Oman, OMN
4.58364, 2012, Feb Average, Oman, OMN
0.20985, 2012, Mar Average, Oman, OMN
11.8781, 2012, Apr Average, Oman, OMN
0.003, 2012, May Average, Oman, OMN
2.99551, 2012, Jun Average, Oman, OMN
3.3437, 2012, Jul Average, Oman, OMN
1.16825, 2012, Aug Average, Oman, OMN
0.00789, 2012, Sep Average, Oman, OMN
4.51248, 2012, Oct Average, Oman, OMN
6.31358, 2012, Nov Average, Oman, OMN
10.5188, 2012, Dec Average, Oman, OMN
0.08658, 2013, Jan Average, Oman, OMN
1.76971, 2013, Feb Average, Oman, OMN
2.72173, 2013, Mar Average, Oman, OMN
22.5624, 2013, Apr Average, Oman, OMN
4.40392, 2013, May Average, Oman, OMN
44.2296, 2013, Jun Average, Oman, OMN
6.61788, 2013, Jul Average, Oman, OMN
3.43147, 2013, Aug Average, Oman, OMN
1.15515, 2013, Sep Average, Oman, OMN
0.01363, 2013, Oct Average, Oman, OMN
30.5265, 2013, Nov Average, Oman, OMN
3.21562, 2013, Dec Average, Oman, OMN
3.42674, 2014, Jan Average, Oman, OMN
36.5495, 2014, Feb Average, Oman, OMN
13.0009, 2014, Mar Average, Oman, OMN
14.6252, 2014, Apr Average, Oman, OMN
16.5516, 2014, May Average, Oman, OMN
3.79083, 2014, Jun Average, Oman, OMN
8.49825, 2014, Jul Average, Oman, OMN
6.10324, 2014, Aug Average, Oman, OMN
1.78989, 2014, Sep Average, Oman, OMN
1.11466, 2014, Oct Average, Oman, OMN
13.2162, 2014, Nov Average, Oman, OMN
0.00162, 2014, Dec Average, Oman, OMN
2.83618, 2015, Jan Average, Oman, OMN
4.67648, 2015, Feb Average, Oman, OMN
2.95444, 2015, Mar Average, Oman, OMN
0.00508, 2015, Apr Average, Oman, OMN
0.00349, 2015, May Average, Oman, OMN
35.9473, 2015, Jun Average, Oman, OMN
0.60552, 2015, Jul Average, Oman, OMN
5.61983, 2015, Aug Average, Oman, OMN
5.70598, 2015, Sep Average, Oman, OMN
0.01389, 2015, Oct Average, Oman, OMN
11.498, 2015, Nov Average, Oman, OMN
0.02135, 2015, Dec Average, Oman, OMN
0.67273, 2016, Jan Average, Oman, OMN
3.91697, 2016, Feb Average, Oman, OMN
9.39012, 2016, Mar Average, Oman, OMN
5.9265, 2016, Apr Average, Oman, OMN
4.58031, 2016, May Average, Oman, OMN
3.21116, 2016, Jun Average, Oman, OMN
7.51498, 2016, Jul Average, Oman, OMN
4.36153, 2016, Aug Average, Oman, OMN
1.78989, 2016, Sep Average, Oman, OMN
0.01363, 2016, Oct Average, Oman, OMN
0.19915, 2016, Nov Average, Oman, OMN
1.22183, 2016, Dec Average, Oman, OMN
23.5797, 1991, Jan Average, Pakistan, PAK
42.6492, 1991, Feb Average, Pakistan, PAK
42.4584, 1991, Mar Average, Pakistan, PAK
43.043, 1991, Apr Average, Pakistan, PAK
26.5375, 1991, May Average, Pakistan, PAK
10.7911, 1991, Jun Average, Pakistan, PAK
20.3078, 1991, Jul Average, Pakistan, PAK
33.49, 1991, Aug Average, Pakistan, PAK
30.1148, 1991, Sep Average, Pakistan, PAK
2.17714, 1991, Oct Average, Pakistan, PAK
4.33636, 1991, Nov Average, Pakistan, PAK
9.12149, 1991, Dec Average, Pakistan, PAK
53.9661, 1992, Jan Average, Pakistan, PAK
29.1195, 1992, Feb Average, Pakistan, PAK
38.7504, 1992, Mar Average, Pakistan, PAK
40.764, 1992, Apr Average, Pakistan, PAK
23.8701, 1992, May Average, Pakistan, PAK
5.56877, 1992, Jun Average, Pakistan, PAK
54.8721, 1992, Jul Average, Pakistan, PAK
69.1804, 1992, Aug Average, Pakistan, PAK
28.7059, 1992, Sep Average, Pakistan, PAK
12.1746, 1992, Oct Average, Pakistan, PAK
7.92377, 1992, Nov Average, Pakistan, PAK
13.6849, 1992, Dec Average, Pakistan, PAK
29.6088, 1993, Jan Average, Pakistan, PAK
15.8378, 1993, Feb Average, Pakistan, PAK
32.1792, 1993, Mar Average, Pakistan, PAK
19.6552, 1993, Apr Average, Pakistan, PAK
15.3862, 1993, May Average, Pakistan, PAK
19.6844, 1993, Jun Average, Pakistan, PAK
73.2203, 1993, Jul Average, Pakistan, PAK
11.8972, 1993, Aug Average, Pakistan, PAK
18.1405, 1993, Sep Average, Pakistan, PAK
2.95508, 1993, Oct Average, Pakistan, PAK
9.43055, 1993, Nov Average, Pakistan, PAK
0.80544, 1993, Dec Average, Pakistan, PAK
19.5592, 1994, Jan Average, Pakistan, PAK
29.1929, 1994, Feb Average, Pakistan, PAK
23.597, 1994, Mar Average, Pakistan, PAK
26.8942, 1994, Apr Average, Pakistan, PAK
19.8453, 1994, May Average, Pakistan, PAK
21.5863, 1994, Jun Average, Pakistan, PAK
116.973, 1994, Jul Average, Pakistan, PAK
83.9455, 1994, Aug Average, Pakistan, PAK
42.8355, 1994, Sep Average, Pakistan, PAK
10.3939, 1994, Oct Average, Pakistan, PAK
3.08639, 1994, Nov Average, Pakistan, PAK
25.3666, 1994, Dec Average, Pakistan, PAK
9.26441, 1995, Jan Average, Pakistan, PAK
30.1864, 1995, Feb Average, Pakistan, PAK
23.1022, 1995, Mar Average, Pakistan, PAK
44.2381, 1995, Apr Average, Pakistan, PAK
11.1759, 1995, May Average, Pakistan, PAK
15.1367, 1995, Jun Average, Pakistan, PAK
97.9396, 1995, Jul Average, Pakistan, PAK
58.5468, 1995, Aug Average, Pakistan, PAK
21.9999, 1995, Sep Average, Pakistan, PAK
14.0496, 1995, Oct Average, Pakistan, PAK
5.24833, 1995, Nov Average, Pakistan, PAK
21.7521, 1995, Dec Average, Pakistan, PAK
27.9485, 1996, Jan Average, Pakistan, PAK
40.7236, 1996, Feb Average, Pakistan, PAK
44.5704, 1996, Mar Average, Pakistan, PAK
24.3362, 1996, Apr Average, Pakistan, PAK
33.005, 1996, May Average, Pakistan, PAK
45.5516, 1996, Jun Average, Pakistan, PAK
37.5503, 1996, Jul Average, Pakistan, PAK
54.5763, 1996, Aug Average, Pakistan, PAK
13.2122, 1996, Sep Average, Pakistan, PAK
11.4699, 1996, Oct Average, Pakistan, PAK
3.83853, 1996, Nov Average, Pakistan, PAK
5.86822, 1996, Dec Average, Pakistan, PAK
23.2765, 1997, Jan Average, Pakistan, PAK
5.92436, 1997, Feb Average, Pakistan, PAK
38.9486, 1997, Mar Average, Pakistan, PAK
39.8522, 1997, Apr Average, Pakistan, PAK
18.4543, 1997, May Average, Pakistan, PAK
32.5392, 1997, Jun Average, Pakistan, PAK
61.0494, 1997, Jul Average, Pakistan, PAK
84.8412, 1997, Aug Average, Pakistan, PAK
11.9138, 1997, Sep Average, Pakistan, PAK
28.5444, 1997, Oct Average, Pakistan, PAK
8.86339, 1997, Nov Average, Pakistan, PAK
13.9214, 1997, Dec Average, Pakistan, PAK
32.6726, 1998, Jan Average, Pakistan, PAK
39.6264, 1998, Feb Average, Pakistan, PAK
37.2368, 1998, Mar Average, Pakistan, PAK
31.8033, 1998, Apr Average, Pakistan, PAK
21.8943, 1998, May Average, Pakistan, PAK
25.044, 1998, Jun Average, Pakistan, PAK
49.0101, 1998, Jul Average, Pakistan, PAK
28.9697, 1998, Aug Average, Pakistan, PAK
23.637, 1998, Sep Average, Pakistan, PAK
9.91221, 1998, Oct Average, Pakistan, PAK
0.16185, 1998, Nov Average, Pakistan, PAK
0.94575, 1998, Dec Average, Pakistan, PAK
32.9247, 1999, Jan Average, Pakistan, PAK
36.1811, 1999, Feb Average, Pakistan, PAK
23.3168, 1999, Mar Average, Pakistan, PAK
18.1675, 1999, Apr Average, Pakistan, PAK
9.97722, 1999, May Average, Pakistan, PAK
9.80438, 1999, Jun Average, Pakistan, PAK
38.2667, 1999, Jul Average, Pakistan, PAK
45.1223, 1999, Aug Average, Pakistan, PAK
19.1532, 1999, Sep Average, Pakistan, PAK
6.80608, 1999, Oct Average, Pakistan, PAK
13.6544, 1999, Nov Average, Pakistan, PAK
0.24637, 1999, Dec Average, Pakistan, PAK
19.311, 2000, Jan Average, Pakistan, PAK
14.2357, 2000, Feb Average, Pakistan, PAK
8.70368, 2000, Mar Average, Pakistan, PAK
3.96081, 2000, Apr Average, Pakistan, PAK
7.20656, 2000, May Average, Pakistan, PAK
16.5511, 2000, Jun Average, Pakistan, PAK
57.1515, 2000, Jul Average, Pakistan, PAK
32.6807, 2000, Aug Average, Pakistan, PAK
18.3118, 2000, Sep Average, Pakistan, PAK
3.36167, 2000, Oct Average, Pakistan, PAK
4.03651, 2000, Nov Average, Pakistan, PAK
6.28593, 2000, Dec Average, Pakistan, PAK
3.98006, 2001, Jan Average, Pakistan, PAK
7.90859, 2001, Feb Average, Pakistan, PAK
16.1858, 2001, Mar Average, Pakistan, PAK
21.0362, 2001, Apr Average, Pakistan, PAK
9.71545, 2001, May Average, Pakistan, PAK
42.8297, 2001, Jun Average, Pakistan, PAK
70.3518, 2001, Jul Average, Pakistan, PAK
28.1631, 2001, Aug Average, Pakistan, PAK
12.5674, 2001, Sep Average, Pakistan, PAK
2.88224, 2001, Oct Average, Pakistan, PAK
11.1675, 2001, Nov Average, Pakistan, PAK
7.07034, 2001, Dec Average, Pakistan, PAK
8.26817, 2002, Jan Average, Pakistan, PAK
24.8489, 2002, Feb Average, Pakistan, PAK
23.0497, 2002, Mar Average, Pakistan, PAK
20.2869, 2002, Apr Average, Pakistan, PAK
10.8048, 2002, May Average, Pakistan, PAK
25.2618, 2002, Jun Average, Pakistan, PAK
11.4863, 2002, Jul Average, Pakistan, PAK
34.2267, 2002, Aug Average, Pakistan, PAK
23.8329, 2002, Sep Average, Pakistan, PAK
4.25136, 2002, Oct Average, Pakistan, PAK
9.99053, 2002, Nov Average, Pakistan, PAK
13.1605, 2002, Dec Average, Pakistan, PAK
12.9862, 2003, Jan Average, Pakistan, PAK
62.8046, 2003, Feb Average, Pakistan, PAK
31.7944, 2003, Mar Average, Pakistan, PAK
23.1098, 2003, Apr Average, Pakistan, PAK
20.0575, 2003, May Average, Pakistan, PAK
13.7782, 2003, Jun Average, Pakistan, PAK
106.583, 2003, Jul Average, Pakistan, PAK
67.9582, 2003, Aug Average, Pakistan, PAK
25.9643, 2003, Sep Average, Pakistan, PAK
4.65043, 2003, Oct Average, Pakistan, PAK
8.94368, 2003, Nov Average, Pakistan, PAK
7.45678, 2003, Dec Average, Pakistan, PAK
41.6249, 2004, Jan Average, Pakistan, PAK
15.2825, 2004, Feb Average, Pakistan, PAK
5.57348, 2004, Mar Average, Pakistan, PAK
25.9202, 2004, Apr Average, Pakistan, PAK
13.1468, 2004, May Average, Pakistan, PAK
19.4183, 2004, Jun Average, Pakistan, PAK
23.6964, 2004, Jul Average, Pakistan, PAK
55.6869, 2004, Aug Average, Pakistan, PAK
15.1627, 2004, Sep Average, Pakistan, PAK
13.4192, 2004, Oct Average, Pakistan, PAK
4.30319, 2004, Nov Average, Pakistan, PAK
24.4978, 2004, Dec Average, Pakistan, PAK
37.2572, 2005, Jan Average, Pakistan, PAK
58.6492, 2005, Feb Average, Pakistan, PAK
40.9373, 2005, Mar Average, Pakistan, PAK
21.9531, 2005, Apr Average, Pakistan, PAK
27.8063, 2005, May Average, Pakistan, PAK
7.38339, 2005, Jun Average, Pakistan, PAK
56.0509, 2005, Jul Average, Pakistan, PAK
27.6218, 2005, Aug Average, Pakistan, PAK
28.3787, 2005, Sep Average, Pakistan, PAK
5.59639, 2005, Oct Average, Pakistan, PAK
8.06399, 2005, Nov Average, Pakistan, PAK
3.99261, 2005, Dec Average, Pakistan, PAK
28.5383, 2006, Jan Average, Pakistan, PAK
15.7051, 2006, Feb Average, Pakistan, PAK
27.5402, 2006, Mar Average, Pakistan, PAK
13.3447, 2006, Apr Average, Pakistan, PAK
9.25805, 2006, May Average, Pakistan, PAK
19.7032, 2006, Jun Average, Pakistan, PAK
56.8962, 2006, Jul Average, Pakistan, PAK
92.8018, 2006, Aug Average, Pakistan, PAK
29.8866, 2006, Sep Average, Pakistan, PAK
9.6685, 2006, Oct Average, Pakistan, PAK
18.3344, 2006, Nov Average, Pakistan, PAK
43.9717, 2006, Dec Average, Pakistan, PAK
3.0348, 2007, Jan Average, Pakistan, PAK
49.8075, 2007, Feb Average, Pakistan, PAK
63.3527, 2007, Mar Average, Pakistan, PAK
10.1817, 2007, Apr Average, Pakistan, PAK
10.8274, 2007, May Average, Pakistan, PAK
37.8191, 2007, Jun Average, Pakistan, PAK
60.6515, 2007, Jul Average, Pakistan, PAK
42.5053, 2007, Aug Average, Pakistan, PAK
28.5902, 2007, Sep Average, Pakistan, PAK
0.73853, 2007, Oct Average, Pakistan, PAK
2.19563, 2007, Nov Average, Pakistan, PAK
8.77559, 2007, Dec Average, Pakistan, PAK
43.5298, 2008, Jan Average, Pakistan, PAK
13.6756, 2008, Feb Average, Pakistan, PAK
2.83751, 2008, Mar Average, Pakistan, PAK
37.4197, 2008, Apr Average, Pakistan, PAK
16.6802, 2008, May Average, Pakistan, PAK
26.2055, 2008, Jun Average, Pakistan, PAK
48.5093, 2008, Jul Average, Pakistan, PAK
90.4538, 2008, Aug Average, Pakistan, PAK
18.479, 2008, Sep Average, Pakistan, PAK
6.49189, 2008, Oct Average, Pakistan, PAK
4.59947, 2008, Nov Average, Pakistan, PAK
28.3541, 2008, Dec Average, Pakistan, PAK
34.3593, 2009, Jan Average, Pakistan, PAK
33.2747, 2009, Feb Average, Pakistan, PAK
28.2929, 2009, Mar Average, Pakistan, PAK
33.3443, 2009, Apr Average, Pakistan, PAK
11.2742, 2009, May Average, Pakistan, PAK
18.2574, 2009, Jun Average, Pakistan, PAK
50.6734, 2009, Jul Average, Pakistan, PAK
30.7856, 2009, Aug Average, Pakistan, PAK
15.1353, 2009, Sep Average, Pakistan, PAK
3.9578, 2009, Oct Average, Pakistan, PAK
6.9783, 2009, Nov Average, Pakistan, PAK
16.272, 2009, Dec Average, Pakistan, PAK
9.37983, 2010, Jan Average, Pakistan, PAK
31.8993, 2010, Feb Average, Pakistan, PAK
20.63, 2010, Mar Average, Pakistan, PAK
16.3773, 2010, Apr Average, Pakistan, PAK
23.014, 2010, May Average, Pakistan, PAK
25.6214, 2010, Jun Average, Pakistan, PAK
105.22, 2010, Jul Average, Pakistan, PAK
113.186, 2010, Aug Average, Pakistan, PAK
30.6715, 2010, Sep Average, Pakistan, PAK
4.11534, 2010, Oct Average, Pakistan, PAK
1.60891, 2010, Nov Average, Pakistan, PAK
3.23522, 2010, Dec Average, Pakistan, PAK
11.1674, 2011, Jan Average, Pakistan, PAK
58.0763, 2011, Feb Average, Pakistan, PAK
30.0545, 2011, Mar Average, Pakistan, PAK
28.063, 2011, Apr Average, Pakistan, PAK
10.2389, 2011, May Average, Pakistan, PAK
16.105, 2011, Jun Average, Pakistan, PAK
37.5047, 2011, Jul Average, Pakistan, PAK
80.6547, 2011, Aug Average, Pakistan, PAK
31.7056, 2011, Sep Average, Pakistan, PAK
8.60502, 2011, Oct Average, Pakistan, PAK
6.73557, 2011, Nov Average, Pakistan, PAK
2.56967, 2011, Dec Average, Pakistan, PAK
21.7436, 2012, Jan Average, Pakistan, PAK
19.6736, 2012, Feb Average, Pakistan, PAK
22.278, 2012, Mar Average, Pakistan, PAK
34.6903, 2012, Apr Average, Pakistan, PAK
13.0843, 2012, May Average, Pakistan, PAK
7.12074, 2012, Jun Average, Pakistan, PAK
26.7597, 2012, Jul Average, Pakistan, PAK
45.5465, 2012, Aug Average, Pakistan, PAK
51.5706, 2012, Sep Average, Pakistan, PAK
6.17664, 2012, Oct Average, Pakistan, PAK
3.56023, 2012, Nov Average, Pakistan, PAK
21.8186, 2012, Dec Average, Pakistan, PAK
12.3896, 2013, Jan Average, Pakistan, PAK
46.5909, 2013, Feb Average, Pakistan, PAK
53.8636, 2013, Mar Average, Pakistan, PAK
33.5154, 2013, Apr Average, Pakistan, PAK
7.84502, 2013, May Average, Pakistan, PAK
37.7994, 2013, Jun Average, Pakistan, PAK
45.7747, 2013, Jul Average, Pakistan, PAK
72.268, 2013, Aug Average, Pakistan, PAK
16.0794, 2013, Sep Average, Pakistan, PAK
8.1558, 2013, Oct Average, Pakistan, PAK
13.5567, 2013, Nov Average, Pakistan, PAK
